Date,Trick_Name,Attempts,Landed_Count,Surface
2025-09-25,Fulls,3,3,Spring Floor
2025-09-25,Full Hyperhook,7,7,Spring Floor
2025-09-25,Double Full,7,6,Spring Floor
2025-09-25,Corks,3,3,Spring Floor
2025-09-25,Cheat 1080,2,2,Spring Floor
2025-09-28,Fulls,3,3,Spring Floor
2025-09-28,Full Hyperhook,2,2,Spring Floor
2025-09-28,Double B-Twist,3,0,Spring Floor
2025-09-28,Cheat 900,2,2,Spring Floor
2025-09-28,Corks,8,8,Spring Floor
2025-09-28,Gainer,3,3,Spring Floor
2025-10-05,Corks (Round),7,5,Spring Floor
2025-10-05,Cheat 1080,5,3,Spring Floor
2025-10-05,Full Hyperhook,2,2,Spring Floor
2025-10-05,Round Off Backflip (Multiple Kicks),2,2,Spring Floor
2025-10-05,Cheat 900,1,1,Hardwood
2025-10-07,Corks,1,1,Hardwood
2025-10-07,Corks (Round),1,1,Hardwood
2025-10-07,Cheat 900,2,2,Hardwood
2025-10-08,Cheat 1080,3,3,Puzzle Mats
2025-10-08,Corks (Round),3,3,Puzzle Mats
2025-10-08,Full Hyperhook,2,2,Puzzle Mats
2025-10-08,Round Off Backflip (Multiple Kicks),3,2,Puzzle Mats
2025-10-11,Corks (Round),2,2,Puzzle Mats
2025-10-11,Round Off Backflip (Multiple Kicks),2,2,Puzzle Mats
2025-10-11,Full Hyperhook,2,2,Puzzle Mats
2025-10-12,Fulls,1,1,Spring Floor
2025-10-12,Full Hyperhook,2,1,Spring Floor
2025-10-12,Double Full,3,3,Spring Floor
2025-10-12,Double Full Hyperhook,6,1,Spring Floor
2025-10-12,Full Snapu,1,0,Spring Floor
2025-10-12,B-Twist Hyperhook,1,1,Spring Floor
2025-10-12,Double B-Twist,1,0,Spring Floor
2025-10-17,Fulls,4,4,Spring Floor
2025-10-17,Full Hyperhook,2,2,Spring Floor
2025-10-17,Double Full,1,1,Spring Floor
2025-10-17,Double Full Hyperhook,1,0,Spring Floor
2025-10-17,B-Twist,1,1,Spring Floor
2025-10-17,Double B-Twist,1,0,Spring Floor
2025-10-17,Corks (Round),1,1,Spring Floor
2025-10-17,Double Cork,3,0,Spring Floor
2025-10-19,Corks,3,3,Spring Floor
2025-10-19,Round Off Backflip,1,1,Spring Floor
2025-10-19,Fulls,3,3,Spring Floor
2025-10-19,Full Hyperhook,3,3,Spring Floor
2025-10-19,Double Full,1,1,Spring Floor
2025-10-19,Double Full Hyperhook,1,1,Spring Floor
2025-10-19,Cheat 1080,2,1,Spring Floor
2025-10-19,Boxcutter,2,2,Spring Floor
2025-10-19,B-Twist Hyperhook,1,1,Spring Floor
2025-10-21,Fulls,4,4,Spring Floor
2025-10-21,Full Hyperhook (Shuriken),2,2,Spring Floor
2025-10-21,Full Hyperhook,1,1,Spring Floor
2025-10-21,Double Full,2,2,Spring Floor
2025-10-21,Double Full Hyperhook,2,0,Spring Floor
2025-10-21,Triple Full,1,0,Spring Floor
2025-10-21,Corks,1,2,Spring Floor
2025-10-21,Boxcutter,1,0,Spring Floor
2025-10-21,Double Cork,1,1,Spring Floor
2025-10-21,B-Twist,1,2,Spring Floor
2025-10-21,B-Twist (Shuriken),1,0,Spring Floor
2025-10-21,B-Twist Hyperhook,1,1,Spring Floor
2025-10-21,Double B-Twist,1,1,Spring Floor
2025-10-21,Front Tuck,1,2,Spring Floor
2025-10-21,Back Handspring,1,2,Spring Floor
2025-10-21,Wrap Full,1,1,Spring Floor
2025-10-21,Wrap Full Hyperhook,1,1,Spring Floor
2025-10-29,Backside 1260,1,0,Puzzle Mats
2025-10-29,Cheat 900,4,4,Puzzle Mats
2025-10-29,Cheat 1080,3,3,Puzzle Mats
2025-10-29,Fulls,1,1,Puzzle Mats
2025-10-29,Corks,1,1,Puzzle Mats
2025-10-29,Round Off Backflip,1,1,Puzzle Mats
2025-11-02,Gainer,3,3,Spring Floor
2025-11-02,Corks,6,6,Spring Floor
2025-11-02,Boxcutter,1,1,Spring Floor
2025-11-02,Cheat 900,1,1,Spring Floor
2025-11-02,Cheat 1080,4,4,Spring Floor
2025-11-02,Backside 1260,1,0,Spring Floor
2025-11-02,Full Hyperhook,1,1,Spring Floor
2025-11-02,Double Full,1,1,Spring Floor
2025-11-02,B-Twist Hyperhook,1,1,Spring Floor
2025-11-02,Double B-Twist,1,0,Spring Floor
2025-11-02,Fulls,1,1,Spring Floor
2025-11-06,Double Full,1,1,Spring Floor
2025-11-06,Fulls,3,3,Spring Floor
2025-11-06,Corks,2,2,Spring Floor
2025-11-16,Gainer,3,3,Spring Floor
2025-11-16,B-Twist,5,4,Spring Floor
2025-11-16,Corks,5,5,Spring Floor
2025-11-16,Cheat 900,2,2,Spring Floor
2025-11-16,Fulls,1,1,Spring Floor
2025-11-16,Side Swipe,1,1,Spring Floor
2025-11-16,Cheat 1080,2,0,Spring Floor
2025-11-16,Full Hyperhook,1,1,Spring Floor
2025-11-16,Double Full,2,1,Spring Floor
2025-11-18,Fulls,1,1,Spring Floor
2025-11-18,Full Hyperhook,1,1,Spring Floor
2025-11-18,B-Twist,2,2,Spring Floor
2025-11-18,Back Handspring,16,16,Spring Floor
2025-11-18,Corks,1,1,Spring Floor
2025-11-20,B-Twist,2,2,Spring Floor
2025-11-20,Corks,4,4,Spring Floor
2025-11-20,Cheat 900,3,3,Spring Floor
2025-11-20,Cheat 1080,4,4,Spring Floor
2025-11-20,Gainer,2,2,Spring Floor
2025-11-20,Full Hyperhook,1,1,Spring Floor
2025-11-20,Boxcutter,1,0,Spring Floor
2025-11-23,Gainer,2,2,Spring Floor
2025-11-23,Gainer (Switch),2,2,Spring Floor
2025-11-23,Corks,4,4,Spring Floor
2025-11-23,Corks (Round),1,1,Spring Floor
2025-11-23,Boxcutter,4,3,Spring Floor
2025-11-23,Fulls,2,2,Spring Floor
2025-11-23,Full Hyperhook,1,1,Spring Floor
2025-11-23,Round Off Backflip,1,1,Spring Floor
2025-11-23,Backside 1260,8,3,Spring Floor
2025-11-23,B-Twist,2,2,Spring Floor
2025-11-23,Cheat 1080,2,0,Spring Floor
2025-11-23,Back Handspring,3,3,Spring Floor
2025-11-25,Round Off Backflip,1,1,Spring Floor
2025-11-25,Round Off Backflip (Multiple Kicks),2,2,Spring Floor
2025-11-25,B-Twist,3,3,Spring Floor
2025-11-25,Double B-Twist,1,1,Spring Floor
2025-11-25,Cheat 900,2,2,Spring Floor
2025-11-25,Cheat 1080,3,2,Spring Floor
2025-11-25,Corks,3,3,Spring Floor
2025-11-25,Boxcutter,2,1,Spring Floor
2025-11-25,Double Cork,2,1,Spring Floor
2025-11-25,Fulls,1,1,Spring Floor
2025-11-25,Full Hyperhook,1,1,Spring Floor
